chr4	100000	15
chr4	100001	15
chr4	100002	15
chr4	100003	15
chr4	100004	15
chr4	100005	15
chr4	100006	15
chr4	100007	15
chr4	100008	15
chr4	100009	16
chr4	100010	16
chr4	100011	16
chr4	100012	16
chr4	100013	16
chr4	100014	16
chr4	100015	15
chr4	100016	16
chr4	100017	16
chr4	100018	15
chr4	100019	15
chr4	100020	15
chr4	100021	15
chr4	100022	16
chr4	100023	17
chr4	100024	18
chr4	100025	18
chr4	100026	18
chr4	100027	18
chr4	100028	19
chr4	100029	18
chr4	100030	18
chr4	100031	18
chr4	100032	19
chr4	100033	19
chr4	100034	20
chr4	100035	20
chr4	100036	21
chr4	100037	21
chr4	100038	21
chr4	100039	21
chr4	100040	20
chr4	100041	22
chr4	100042	21
chr4	100043	21
chr4	100044	22
chr4	100045	22
chr4	100046	23
chr4	100047	23
chr4	100048	23
chr4	100049	24
chr4	100050	24
chr4	100051	25
chr4	100052	25
chr4	100053	24
chr4	100054	24
chr4	100055	25
chr4	100056	25
chr4	100057	25
chr4	100058	24
chr4	100059	23
chr4	100060	23
chr4	100061	24
chr4	100062	25
chr4	100063	25
chr4	100064	25
chr4	100065	25
chr4	100066	25
chr4	100067	25
chr4	100068	25
chr4	100069	25
chr4	100070	25
chr4	100071	25
chr4	100072	25
chr4	100073	25
chr4	100074	24
chr4	100075	24
chr4	100076	23
chr4	100077	22
chr4	100078	22
chr4	100079	22
chr4	100080	24
chr4	100081	25
chr4	100082	25
chr4	100083	24
chr4	100084	24
chr4	100085	24
chr4	100086	24
chr4	100087	26
chr4	100088	26
chr4	100089	25
chr4	100090	25
chr4	100091	25
chr4	100092	25
chr4	100093	26
chr4	100094	28
chr4	100095	28
chr4	100096	28
chr4	100097	28
chr4	100098	28
chr4	100099	28
chr4	100100	28
chr4	100101	28
chr4	100102	29
chr4	100103	29
chr4	100104	29
chr4	100105	29
chr4	100106	29
chr4	100107	29
chr4	100108	29
chr4	100109	28
chr4	100110	29
chr4	100111	29
